Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;
60;12;215;5;4;3,31542;22,0946;9,2111;
50;8;211;5;4;3,01372;23,0415;8,4539;
44;8;209;5;4;3,09562;21,9879;8,7918;
45;18;212;5;5;3,2981;21,9151;9,234;
40;3;214;5;0;3,14176;21,8056;8,8086;
27;9;210;5;4;2,7547;19,9782;7,7395;
66;12;211;5;3;2,91019;21,4593;8,2359;
35;7;212;5;4;2,54755;21,5667;7,0953;
84;9;217;5;1;3,28035;20,3621;9,0602;
38;6;218;5;3;2,98924;19,213;8,1594;
72;11;219;5;3;3,22629;21,695;8,8081;
67;5;217;5;2;3,29175;19,7939;9,0624;
67;11;211;5;4;3,20284;20,0207;8,9809;
31;7;218;5;0;3,04599;19,3858;8,3834;
52;8;218;5;4;2,93063;17,3021;8,029;
48;6;208;5;0;2,75639;21,178;7,9511;
71;9;215;5;0;3,25191;18,9386;9,0751;
68;13;208;5;5;3,25063;18,7765;9,2599;
74;14;209;5;3;3,14413;21,2966;9,0024;
48;12;208;5;0;2,65014;19,1846;7,6446;
85;7;209;5;5;3,48008;22,9979;9,8618;
37;8;212;5;4;2,89731;17,9853;8,1159;
66;5;214;5;0;3,38192;19,3739;9,482;
48;3;206;5;2;2,67367;18,6608;7,7502;
40;5;216;5;4;2,7818;22,4131;7,6596;
47;7;214;5;0;3,00958;20,6;8,438;
45;4;209;5;4;2,77371;20,6237;7,9042;
45;12;218;5;2;3,32676;20,8784;9,1379;
85;17;219;5;4;3,34429;23,4077;9,0768;
65;9;218;5;0;3,38615;21,3587;9,3196;
50;7;217;5;1;2,92459;20,3318;8,0792;
63;9;216;5;0;3,35915;22,2931;9,3309;
56;7;216;5;4;3,38472;21,0341;9,3468;
45;12;219;5;4;3,10093;20,1238;8,451;
43;4;213;5;1;2,8744;21,5197;8,084;
54;10;219;5;1;3,50582;21,3317;9,5757;
62;9;219;5;5;3,37029;21,0227;9,073;
50;9;215;5;2;3,13696;23,0012;8,7123;
72;8;210;5;3;3,04331;21,7149;8,6211;
72;10;219;5;5;3,55756;21,9422;9,649;
72;19;214;5;1;3,45283;20,7216;9,6498;
48;3;207;5;2;2,84159;19,4875;8,1984;
57;5;216;5;2;2,71763;17,7692;7,541;
46;3;219;5;2;2,68538;23,4222;7,3449;
40;13;210;5;3;2,68276;18,8562;7,6386;
55;11;211;5;2;3,13239;20,4975;8,8934;
51;9;214;5;0;3,10214;21,611;8,6975;
49;15;207;5;0;3,0609;20,5667;8,8721;
56;12;220;5;5;3,4304;20,2088;9,2878;
41;2;206;5;5;2,76553;20,8207;7,9756;
;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg
Erwartungswert;54,64;8,84;213,64;5;2,52;3,085638;20,751438;8,615094
Varianz;198,724898;15,48408163;17,58204082;0;3,193469388;0,071370734;2,133584697;0,468457857
