Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;
1;1;287;5;2;0,37325;7,3159;0,7772;
4;1;268;5;0;0,36763;9,1736;0,823;
0;0;265;5;0;0,15774;7,4039;0,3571;
0;0;278;4;2;0,20488;6,6425;0,4357;
0;0;257;4;0;0,19039;6,9092;0,4444;
0;0;250;2;0;0,11061;3,6072;0,2654;
2;0;290;5;0;0,46757;9,1741;0,9673;
0;0;257;5;1;0,15633;3,6836;0,3625;
1;0;310;5;0;0,50063;7,8688;0,9689;
2;1;262;5;0;0,23602;6,9972;0,5405;
0;0;305;4;0;0,35438;7,1928;0,6971;
1;0;290;5;0;0,34271;9,0277;0,709;
3;0;288;5;2;0,47657;7,1967;0,9727;
0;0;256;4;0;0,10134;5,3354;0,2375;
0;0;279;4;3;0,28215;5,101;0,5913;
2;2;258;5;0;0,3711;7,8661;0,863;
1;0;294;5;0;0,44557;7,0643;0,9093;
2;0;289;5;3;0,36661;9,1275;0,7514;
2;1;297;5;0;0,39674;8,0076;0,8014;
2;0;266;5;0;0,30237;7,2426;0,682;
0;0;304;5;2;0,52386;6,2675;1,0253;
0;0;261;5;0;0,18019;6,6112;0,4142;
0;0;285;5;0;0,26758;7,2437;0,5633;
0;0;259;4;0;0,28397;6,0279;0,6578;
0;0;265;4;0;0,14355;5,1571;0,325;
0;0;268;4;0;0,25561;6,4156;0,5722;
1;0;259;5;2;0,24483;6,3759;0,5537;
0;0;277;5;0;0,27029;7,2206;0,5854;
2;2;320;5;1;0,69962;8,8428;1,3041;
0;0;292;5;0;0,47593;8,6622;0,9779;
1;1;273;5;0;0,31756;9,4885;0,6979;
0;0;288;3;0;0,16988;4,1368;0,3539;
0;0;280;4;3;0,22549;4,7695;0,4598;
0;0;278;5;2;0,22341;7,2992;0,4702;
0;0;261;5;0;0,1946;8,3392;0,4473;
1;0;283;5;0;0,42334;9,3679;0,8975;
1;1;291;5;2;0,47213;8,1747;0,968;
0;0;276;5;0;0,33031;5,681;0,718;
2;1;290;5;0;0,52335;9,0076;1,0827;
5;1;299;5;1;0,58296;8,5175;1,159;
2;0;304;5;0;0,53545;6,5854;1,0568;
3;0;257;5;0;0,34961;9,6193;0,8162;
4;0;276;5;0;0,3551;7,857;0,7719;
3;0;267;5;0;0,40032;7,7063;0,8995;
1;0;265;5;0;0,28214;7,6336;0,6388;
0;0;279;4;0;0,26341;6,0455;0,5664;
2;0;272;5;0;0,41482;8,2644;0,915;
1;0;270;5;0;0,22495;5,7213;0,4998;
0;0;293;5;0;0,3567;6,5084;0,7304;
2;0;252;5;0;0,27717;7,1381;0,6599;
;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg
Erwartungswert;1,08;0,24;277,8;4,7;0,52;0,3294544;7,172468;0,698892
Varianz;1,626122449;0,267755102;280,7755102;0,37755102;0,907755102;0,017348352;2,243978583;0,061833857
