Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg;
92;2;133;5;5;3,47635;135,5602;14,65;47;5;2;0,56328;30,3871;7,1601;
158;0;77;5;5;4,37712;106,0955;33,1316;42;3;0;0,29762;19,0331;4,2517;
58;0;180;5;2;3,23388;31,716;10,7566;50;3;0;0,15259;8,5283;1,8311;
158;0;77;5;4;4,04681;70,4289;31,0939;45;2;0;0,32506;14,2774;4,3341;
138;0;79;5;5;4,10526;72,878;28,6583;31;2;1;0,24226;13,4788;4,6408;
140;0;123;5;5;3,9633;43,1078;17,9146;31;2;1;0,13217;9,4492;2,5266;
173;0;86;5;5;4,21593;87,0597;28,2713;35;3;1;0,32594;18,2283;5,4504;
94;0;138;5;5;3,59088;59,9983;15,1734;31;2;0;0,15236;8,9587;2,9488;
83;0;186;5;3;3,43653;27,1044;10,9946;43;2;0;0,14392;7,0072;2,0082;
129;0;79;5;4;4,32621;58,4247;31,1975;36;3;0;0,25346;19,3054;4,2243;
170;0;80;5;5;4,25777;93,3958;31,0596;39;3;0;0,31636;14,4565;4,8671;
180;0;74;5;5;4,53733;96,964;34,2151;36;3;0;0,42436;22,8215;7,0726;
84;0;146;5;5;3,04219;74,6849;12,0733;42;2;0;0,14914;7,3902;2,1305;
156;0;81;5;5;4,23606;139,3054;30,6882;46;5;0;0,50686;25,5181;6,6111;
103;0;128;5;5;3,74002;105,6304;16,6602;40;4;0;0,2914;20,0482;4,3709;
89;0;142;5;5;3,46537;48,4863;14,204;35;2;0;0,13996;7,7137;2,3993;
125;0;140;5;5;3,83591;75,0925;15,6716;37;2;1;0,13925;10,8125;2,1098;
137;0;84;5;5;4,10817;82,6518;28,2828;41;2;0;0,27865;14,145;4,0777;
51;0;189;5;3;3,14771;23,3552;9,9583;37;2;0;0,11219;7,7009;1,8193;
87;0;143;5;5;3,5589;65,8817;14,1569;36;2;0;0,14318;9,228;2,3863;
144;0;95;5;5;4,18536;60,1081;25,4601;30;3;1;0,26718;19,0816;5,3117;
149;0;72;5;5;4,12455;87,6487;33,41;43;3;0;0,41161;14,9907;5,7434;
73;0;180;5;3;3,60998;27,2556;11,9736;39;2;0;0,13739;5,9145;2,1136;
141;0;68;5;4;4,29807;96,6438;35,5382;45;2;0;0,39858;12,5903;5,3143;
109;0;85;5;5;4,0972;70,5129;27,8463;26;2;0;0,14021;8,4526;3,2356;
64;0;150;5;3;3,14173;37,5487;12,4584;42;2;0;0,13779;8,5767;1,9684;
102;0;152;5;5;3,66914;69,3972;14,1206;25;1;0;0,09837;8,8966;2,3609;
84;0;151;5;5;3,41772;82,5827;12,813;39;3;0;0,27128;18,982;4,1735;
116;0;164;5;5;3,54114;38,6395;12,7097;56;3;0;0,23672;8,8552;2,5362;
186;0;78;5;4;4,3723;94,9324;33,1034;40;3;1;0,25582;10,2663;3,8269;
106;0;102;5;4;3,99507;86,8547;22,9479;35;3;0;0,26902;16,5277;4,6117;
52;0;177;5;4;3,11895;27,7987;10,4146;31;2;0;0,08198;5,4231;1,5867;
130;0;78;5;5;4,27046;126,549;31,7169;40;3;0;0,28438;17,2665;4,2656;
58;0;183;5;4;3,42786;29,961;11,0449;39;2;0;0,14067;9,5028;2,1641;
48;0;176;5;2;3,01115;32,0552;10,2619;41;2;0;0,15884;8,4947;2,3245;
164;0;76;5;4;4,44298;81,8072;33,6516;37;4;0;0,3328;19,4467;5,3967;
151;0;75;5;5;4,36347;109,2537;32,3466;36;3;1;0,25739;13,9777;4,0853;
118;0;80;5;4;3,93891;88,2704;28,7391;45;4;0;0,43555;18,9885;5,8072;
81;0;175;5;3;3,18031;27,1483;10,6753;32;1;0;0,07419;6,8391;1,391;
108;0;135;5;5;4,0031;92,2439;17,1264;43;3;0;0,24541;14,2076;3,4243;
165;0;70;5;5;4,28861;117,3243;35,1014;45;3;0;0,37138;20,2132;4,9516;
71;0;173;5;2;3,18047;26,6296;11,0059;44;3;0;0,19325;7,8005;2,6352;
156;0;66;5;5;4,47009;100,2244;36,3723;44;3;1;0,38983;20,8256;5,2385;
147;0;83;5;5;4,24858;112,5591;29,7097;32;3;0;0,30156;15,5327;5,6543;
47;0;185;5;1;3,14602;30,7844;10,1988;51;2;0;0,15633;8,3056;1,8391;
134;0;90;5;5;3,99101;83,4496;25,1046;37;3;0;0,29958;18,3928;4,8581;
81;0;154;5;5;3,51455;78,3882;13,2124;35;2;0;0,16852;11,1581;2,8888;
156;0;69;5;5;4,31783;86,0666;34,4717;44;4;0;0,32686;12,0526;4,4571;
175;0;68;5;5;4,52835;89,6937;37,5536;43;3;0;0,42605;21,3576;5,9449;
82;0;140;5;5;3,30367;61,6056;13,5115;36;2;0;0,17516;9,9647;2,9193;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg
Erwartungswert;116,06;0,04;118,3;5;4,36;3,8380066;73,035174;22,068244;39,1;2,66;0,2;0,2506742;13,627448;3,804984
Varianz;1624,424898;0,08;1833,72449;0;1,051428571;0,221347713;973,0356911;94,06369306;39,03061224;0,71877551;0,204081633;0,01340004;32,93922691;2,45326858
