Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg;
77;0;148;5;5;2,85167;84,3584;10,7067;29;3;3;0,17777;12,2198;3,4152;
58;0;182;5;0;3,23548;27,898;10,6664;34;2;0;0,12513;5,9096;2,2082;
126;0;110;5;4;3,35019;115,869;17,7586;41;3;0;0,31672;20,7508;4,6348;
110;0;125;5;4;2,98297;68,1059;13,966;36;2;0;0,1358;16,7018;2,2632;
68;0;149;5;5;2,54985;64,8293;9,7835;18;2;0;0,06314;14,7407;2,1048;
82;0;182;5;4;3,26363;37,6275;10,6889;24;2;0;0,06501;7,8481;1,6251;
74;0;188;5;2;2,61458;33,219;8,2698;24;2;0;0,05502;8,5307;1,3754;
74;0;158;5;5;3,28075;54,3927;11,4363;23;2;0;0,11486;14,188;2,9963;
81;0;187;5;4;3,62571;24,9048;11,3891;34;2;0;0,11622;7,3282;2,0509;
25;0;184;5;3;1,88439;24,7556;6,0802;26;2;0;0,08598;11,155;1,9842;
126;0;124;5;5;3,16505;83,4956;14,4038;31;2;1;0,13008;8,8841;2,345;
142;0;112;5;5;3,74407;82,3488;19,4049;19;3;1;0,22738;18,9033;6,9036;
49;0;184;5;2;2,40534;27,5788;7,8196;38;2;0;0,1192;7,1007;1,882;
147;0;90;5;5;4,2171;110,6799;27,3239;35;4;0;0,29195;21,2729;5,0048;
89;0;144;5;3;3,23862;62,159;13,2535;27;2;0;0,13395;7,8951;2,9767;
135;0;96;5;5;3,94235;77,1883;23,8541;29;2;0;0,166;11,1573;3,4344;
172;0;93;5;5;4,1313;71,4732;25,7593;27;2;0;0,11511;6,3334;2,558;
34;0;187;5;5;2,42673;34,6877;6,8092;34;2;0;0,12189;15,3741;2,151;
36;0;202;5;5;2,15651;36,7819;6,1854;26;1;0;0,05573;7,6797;1,286;
76;0;154;5;5;3,20273;37,8022;11,9299;25;1;1;0,07058;4,7806;1,6517;
92;0;147;5;5;3,50521;80,3623;13,6419;20;1;1;0,04967;4,8558;1,3646;
71;0;150;5;5;2,4275;70,6193;9,1002;33;2;0;0,17812;16,5278;3,2385;
145;0;107;5;4;3,90129;63,6687;21,6353;27;2;0;0,16209;10,9404;3,6019;
81;0;127;5;5;3,14929;59,9054;13,0963;33;2;0;0,17975;10,2631;3,2681;
95;0;100;5;4;3,6548;59,7299;21,2381;22;2;0;0,08747;8,0044;2,3856;
66;0;146;5;5;2,20079;65,86;7,8873;34;2;0;0,14562;12,2847;2,5697;
121;0;133;5;5;3,47443;151,4458;15,1819;14;1;0;0,03883;5,2202;1,664;
103;0;132;5;5;3,52819;78,7583;14,6933;25;2;1;0,11734;11,9579;2,56;
190;0;90;5;5;4,11713;94,1093;26,6663;41;3;1;0,35228;17,2329;5,1173;
81;0;185;5;2;3,18536;33,4189;10,3009;31;2;0;0,06238;4,8383;1,2074;
101;0;106;5;5;3,9963;99,3494;22,0645;21;2;0;0,10784;10,6293;3,081;
105;0;124;5;4;3,43764;60,2843;16,3747;21;2;0;0,06704;7,4487;1,9155;
108;0;100;5;5;3,82778;73,7712;22,2578;30;3;0;0,15509;11,7336;3,1018;
36;0;204;5;5;1,18267;35,0317;3,1211;27;1;1;0,0654;6,9599;1,4511;
73;0;148;5;5;3,06584;58,014;11,9962;29;2;2;0,10071;8,0269;1,8112;
121;0;118;5;5;3,54157;85,8207;17,7025;27;4;1;0,19143;17,8253;4,2447;
74;0;152;5;5;3,14227;123,9253;11,7749;27;2;0;0,05743;4,4696;1,2763;
71;0;128;5;3;3,03613;52,072;13,777;35;4;0;0,34793;22,6121;5,9645;
74;0;183;5;2;2,92046;47,6251;9,4622;24;1;0;0,05054;6,078;1,2633;
82;0;161;5;5;3,44354;69,0245;11,7306;33;2;0;0,12582;6,9168;2,2876;
120;0;116;5;4;3,7194;59,1298;18,1143;34;2;0;0,15546;7,3809;2,7433;
52;0;191;5;3;2,50489;30,2271;7,8291;35;3;0;0,15388;14,5911;2,6379;
124;0;99;5;4;3,97147;85,3493;23,4403;26;2;0;0,16282;13,987;3,7573;
70;0;160;5;5;2,44354;58,5843;8,0049;20;2;1;0,0991;8,3655;2,8549;
46;0;186;5;1;2,81939;25,1336;9,0903;37;2;1;0,11641;8,3809;1,8818;
54;0;171;5;4;3,27412;29,7462;11,3527;28;2;0;0,0753;4,9511;1,6136;
137;0;98;5;5;4,08791;73,1912;24,235;28;3;0;0,24388;14,6861;5,2259;
59;0;166;5;5;2,53255;59,216;8,7572;33;2;0;0,12394;12,1065;2,2534;
65;0;183;5;0;2,63189;27,834;8,6291;34;3;0;0,10162;5,7059;1,7932;
72;0;151;5;4;3,05878;44,6435;11,7716;27;2;0;0,08403;8,6494;1,8673;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg
Erwartungswert;89,4;0;145,22;5;4,1;3,161023;62,320134;13,848332;28,72;2,16;0,3;0,1329348;10,64768;2,69708
Varianz;1315,755102;0;1158,256735;0;1,806122449;0,416164398;790,7520237;36,78878126;36,61387755;0,504489796;0,37755102;0,005551632;22,81918566;1,651921049
