Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg;
128;0;97;5;5;4,03198;77,8861;23,7363;29;3;3;0,2735;19,084;5,3959;
61;0;174;5;5;3,40697;31,6176;11,5003;34;2;0;0,08264;5,4876;1,4582;
54;0;183;5;3;3,19944;33,9909;10,438;41;2;0;0,12751;7,9625;1,8659;
132;0;103;5;4;3,72883;87,3397;21,4711;36;3;0;0,23228;14,8989;3,8712;
131;0;87;5;4;4,3292;58,6347;29,1341;17;1;1;0,09352;7,3434;3,1371;
71;0;192;5;5;3,12688;33,3557;9,4768;24;1;0;0,05663;5,3257;1,4156;
85;0;177;5;2;3,7148;29,7021;12,5133;24;2;0;0,06627;5,1354;1,6566;
146;0;86;5;5;4,32242;59,7993;29,4286;22;2;1;0,17141;12,2222;4,427;
84;0;185;5;3;3,5485;29,089;11,4171;34;2;0;0,07478;4,9576;1,3196;
103;0;105;5;4;3,73152;55,9206;20,3941;26;2;0;0,11514;7,6434;2,6571;
72;0;179;5;4;3,66802;26,5498;12,041;32;2;0;0,11374;6,8212;2,1326;
66;0;190;5;3;3,47418;34,5502;10,7475;20;3;0;0,07834;9,6643;2,3503;
60;0;173;5;2;2,90493;30,9306;10,0494;38;2;0;0,11351;7,1007;1,7922;
153;0;84;5;5;4,43731;109,5917;30,9225;35;4;0;0,29269;24,8742;5,0175;
102;0;129;5;5;3,63083;60,887;14,9857;27;3;0;0,13296;13,7661;2,9547;
135;0;96;5;5;4,13311;77,1883;25,0463;29;2;0;0,1678;11,1573;3,4717;
184;0;81;5;5;4,43385;65,431;31,848;27;2;0;0,18681;8,5115;4,1512;
84;0;138;5;4;3,61584;57,5007;15,249;34;2;0;0,14696;10,671;2,5934;
42;0;197;5;4;2,90908;24,5669;8,7766;26;1;0;0,0707;8,5325;1,6315;
136;0;94;5;5;4,37127;76,0089;27,1594;25;2;1;0,16683;11,2152;3,9618;
83;0;156;5;5;3,41092;64,385;12,3291;21;2;0;0,05734;6,3246;1,6382;
110;0;111;5;5;3,85129;72,296;20,5327;33;3;0;0,23743;13,4837;4,3169;
71;0;180;5;5;3,39091;28,132;11,1443;27;2;0;0,08346;8,3116;1,8545;
56;0;152;5;5;3,1006;50,6734;10,8174;33;2;0;0,10251;6,7061;1,8637;
105;0;89;5;5;4,18509;53,7002;26,4996;22;2;0;0,14812;12,7958;4,0396;
130;0;83;5;4;4,22932;87,1092;29,3144;34;3;0;0,27629;14,6211;4,8757;
109;0;145;5;5;3,44073;168,8648;11,5856;14;1;0;0,02443;3,6889;1,0471;
105;0;130;5;5;3,90281;73,9574;16,8277;25;2;1;0,10004;6,4399;2,1447;
192;0;88;5;5;4,23313;95,6575;27,947;41;3;1;0,31988;16,3579;4,643;
180;0;84;5;4;4,44033;115,2738;30,8231;31;2;0;0,26475;12,7573;5,1242;
75;0;132;5;5;3,52343;62,1085;15,5527;21;2;0;0,12468;15,2159;3,5622;
58;0;172;5;3;3,24347;28,5381;11,1907;21;1;0;0,04723;5,035;1,3494;
122;0;87;5;4;4,25398;72,0999;28,9211;30;2;0;0,13136;6,841;2,6271;
154;0;86;5;5;4,38732;66,8595;29,6644;26;2;2;0,114;7,9793;2,5888;
88;0;133;5;5;3,69867;50,1346;15,9654;30;2;1;0,13561;10,2438;2,6346;
156;0;83;5;5;4,43986;74,3209;31,0762;27;4;1;0,21744;17,7771;4,8225;
135;0;91;5;5;4,206;110,674;27,2163;27;3;0;0,19857;12,1356;4,4125;
78;0;119;5;5;3,46334;78,8341;16,3031;35;2;0;0,1615;15,6591;2,7685;
79;0;180;5;0;3,54844;28,1882;11,8281;24;1;0;0,08891;7,5728;2,2226;
94;0;149;5;5;3,61228;73,771;13,6829;33;2;0;0,15213;10,0359;2,7659;
155;0;80;5;5;4,39171;86,9647;30,4075;34;3;0;0,25726;13,5674;4,5399;
76;0;169;5;1;3,4002;31,277;12,0617;35;3;0;0,15262;7,6048;2,6164;
141;0;82;5;4;4,34242;74,927;31,0669;26;2;0;0,20569;11,3418;4,7467;
139;0;91;5;5;4,24729;58,4566;26,1423;20;2;1;0,138;9,8886;4,0219;
128;0;101;5;4;4,07148;66,9259;23,8154;37;2;1;0,24539;10,9838;3,9732;
131;0;93;5;5;4,20037;54,0259;26,4988;28;3;0;0,2296;13,5184;4,92;
142;0;94;5;4;4,24797;69,5389;26,3287;28;2;0;0,16338;9,3878;3,501;
145;0;80;5;5;4,15175;74,3287;30,2513;33;3;0;0,21727;12,6936;3,9503;
155;0;90;5;3;4,23527;100,0595;27,8833;34;3;0;0,28658;16,7195;5,0573;
143;0;79;5;5;4,29375;62,6809;31,8722;27;2;0;0,16078;8,4098;3,5729;
;;;;;;;;;;;;;;
;Verlorene K;Verlorene PK;Bediente;Qmax;Qnow;Qavg;WaitMax;WaitAvg;PBediente;PQmax;PQnow;PQavg;PWaitMax;PWaitAvg
Erwartungswert ;111,28;0;123,18;5;4,26;3,8572618;63,90608;20,6377;28,74;2,22;0,28;0,1561254;10,529452;3,189248
Varianz;1440,164898;0;1621,252653;0;1,298367347;0,206684488;798,1091876;66,54714828;36,84938776;0,501632653;0,368979592;0,005403613;18,24712298;1,590238529
